1;For Those About To Rock (We Salute You);1;1
2;Balls to the Wall;2;1
3;Fast As a Shark;2;1
4;Restless and Wild;2;1
5;Princess of the Dawn;2;1
6;Put The Finger On You;1;1
7;Let's Get It Up;1;1
8;Inject The Venom;1;1
9;Snowballed;1;1
10;Evil Walks;1;1
11;C.O.D.;1;1
12;Breaking The Rules;1;1
13;Night Of The Long Knives;1;1
14;Spellbound;1;1
15;Go Down;1;1
16;Dog Eat Dog;1;1
17;Let There Be Rock;1;1
18;Bad Boy Boogie;1;1
19;Problem Child;1;1
20;Overdose;1;1
21;Hell Ain't A Bad Place To Be;1;1
22;Whole Lotta Rosie;1;1
23;Walk On Water;1;1
24;Love In An Elevator;1;1
25;Rag Doll;1;1
26;What It Takes;1;1
27;Dude (Looks Like A Lady);1;1
28;Janie's Got A Gun;1;1
29;Cryin;1;1
30;Amazing;1;1
31;Blind Man;1;1
32;Deuces Are Wild;1;1
33;The Other Side;1;1
34;Crazy;1;1
35;Eat The Rich;1;1
36;Angel;1;1
37;Livin' On The Edge;1;1
38;All I Really Want;1;1
39;You Oughta Know;1;1
40;Perfect;1;1
41;Hand In My Pocket;1;1
42;Right Through You;1;1
43;Forgiven;1;1
44;You Learn;1;1
45;Head Over Feet;1;1
46;Mary Jane;1;1
47;Ironic;1;1
48;Not The Doctor;1;1
49;Wake Up;1;1
50;You Oughta Know (Alternate);1;1
51;We Die Young;1;1
52;Man In The Box;1;1
53;Sea Of Sorrow;1;1
54;Bleed The Freak;1;1
55;I Can't Remember;1;1
56;Love, Hate, Love;1;1
57;It Ain't Like That;1;1
58;Sunshine;1;1
59;Put You Down;1;1
60;Confusion;1;1
61;I Know Somethin (Bout You);1;1
62;Real Thing;1;1
63;Desafinado;1;2
64;Garota De Ipanema;1;2
65;Samba De Uma Nota Só (One Note Samba);1;2
66;Por Causa De Você;1;2
67;Ligia;1;2
68;Fotografia;1;2
69;Dindi (Dindi);1;2
70;Se Todos Fossem Iguais A Você (Instrumental);1;2
71;Falando De Amor;1;2
72;Angela;1;2
73;Corcovado (Quiet Nights Of Quiet Stars);1;2
74;Outra Vez;1;2
75;O Boto (Bôto);1;2
76;Canta, Canta Mais;1;2
77;Enter Sandman;1;3
78;Master Of Puppets;1;3
79;Harvester Of Sorrow;1;3
80;The Unforgiven;1;3
81;Sad But True;1;3
82;Creeping Death;1;3
83;Wherever I May Roam;1;3
84;Welcome Home (Sanitarium);1;3
85;Cochise;1;1
86;Show Me How to Live;1;1
87;Gasoline;1;1
88;What You Are;1;1
89;Like a Stone;1;1
90;Set It Off;1;1
91;Shadow on the Sun;1;1
92;I am the Highway;1;1
93;Exploder;1;1
94;Hypnotize;1;1
95;Bring'em Back Alive;1;1
96;Light My Way;1;1
